acanthosoma haemorrhoidale (hawthorn shield bug)
agrothereutes abbreviata
andrena clarkella
andrena denticulata
andrena labilis
barn owl, tyto alba
migrant hawker, aeshna mixta
mountain hare, lepus timidus
mute swan, cygnus olor
myrmica ruginodis
myzus cerasi
natterer's bat, myotis nattereri
orange tip, anthocharis cardamines
oystercatcher, haematopus ostralegus
painted lady, cynthia cardui
palmate newt, triturus helveticus
parabates cristatus
peacock, inachis io
peizodorus lituratus
peppered moth, biston betularia
peregrine, falco peregrinus
pheasant, phasianus colchicus
pied wagtail, motacilla alba yarrellii
pink-footed goose, anser brachyrynchus
plagiognathus arbustorum
pochard, aythya ferina
pontania viminalis
psythyrus campestris
puffin, fratercula arctica
puss moth, cerura vinula
pygmy shrew, sorex minutus
quail, coturnix coturnix
raven, corvus corax
razorbill, alca torda
red admiral, vanessa atalanta
red grouse, lagopus lagopus scoticus
red-breasted merganser, mergus serrator
red-legged partridge, alectoris rufa
red-necked wallaby, macropus rufogriseus
red-throated diver, gavia stellata
red-veined darter, sympetrum fonscolombi
ringlet, aphantopus hyperantus†
robin, erithacus rubecula
rook, corvus frugilegus
ruddy darter, sympetrum sanguineum
ruddy duck, oxyura jamaicensis
scaup, aythya marila
shag, phalacrocorax aristotelis
shelduck, tadorna tadorna
shoveler, anas clypeata
silver ground carpet, xanthorhoe montanata montanata
silver y, autographa gamma f. gammina
slavonian grebe, podiceps auritus
small copper, lycaena phlaeas
small heath, coenonympha pamphilus
small tortoiseshell, aglais urticae
small white, pieris rapae
smooth newt, triturus vulgaris
snipe, gallinago gallinago
song thrush, turdus philomelos
soprano pipistrelle, pipistrellus pygmaeus
sparrowhawk, accipiter nisus
speckled bush-cricket, leptophyes punctatissima
speckled wood, pararge aegeria[1]
spilichneumon occisorius
starling, sturnus vulgaris
stoat, mustela erminea hibernica
storm petrel, hydrobates pelagicus
subsigara scotti
swallow, hirundo rustica
sybsigara fossarum
teal, anas crecca
trichoma enecator
tufted duck, aythya fuligula
velua currens
velvet scoter, melanitta fusca
wall, lasiommata megera
water rail, rallus aquaticus
whiskered bat, myotis mystacinus
white-tailed eagle, haliaeetus albicilla
whooper swan, cygnus cygnus
wigeon, anas penelope
willow warbler, phylloscopus trochilus
wood mouse, apodemus sylvaticus
woodcock, scolopax rusticola
woodpigeon, columba palumbus
wren, troglodytes troglodytes
